"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	443	4135201	10.7
	"Alabama"	"01"	"2000"	"2000"	470	4151108	11.3
	"Alabama"	"01"	"2001"	"2001"	489	4171010	11.7
	"Alabama"	"01"	"2002"	"2002"	460	4184043	11.0
	"Alabama"	"01"	"2003"	"2003"	472	4208287	11.2
	"Alabama"	"01"	"2004"	"2004"	577	4234759	13.6
	"Alabama"	"01"	"2005"	"2005"	587	4273364	13.7
	"Alabama"	"01"	"2006"	"2006"	711	4331759	16.4
	"Alabama"	"01"	"2007"	"2007"	807	4372540	18.5
	"Alabama"	"01"	"2008"	"2008"	896	4413364	20.3
	"Alabama"	"01"	"2009"	"2009"	923	4452526	20.7
	"Alabama"	"01"	"2010"	"2010"	850	4474779	19.0
	"Alabama"	"01"	"2011"	"2011"	852	4498835	18.9
	"Alabama"	"01"	"2012"	"2012"	910	4516756	20.1
	"Alabama"	"01"	"2013"	"2013"	907	4536618	20.0
	"Alabama"	"01"	"2014"	"2014"	1110	4554672	24.4
	"Alabama"	"01"	"2015"	"2015"	1124	4566006	24.6
	"Alabama"	"01"	"2016"	"2016"	1248	4570735	27.3
	"Alaska"	"02"	"1999"	"1999"	150	576843	26.0
	"Alaska"	"02"	"2000"	"2000"	156	579341	26.9
	"Alaska"	"02"	"2001"	"2001"	191	586538	32.6
	"Alaska"	"02"	"2002"	"2002"	210	594900	35.3
	"Alaska"	"02"	"2003"	"2003"	208	600804	34.6
	"Alaska"	"02"	"2004"	"2004"	196	611029	32.1
	"Alaska"	"02"	"2005"	"2005"	206	618017	33.3
	"Alaska"	"02"	"2006"	"2006"	228	625861	36.4
	"Alaska"	"02"	"2007"	"2007"	219	630081	34.8
	"Alaska"	"02"	"2008"	"2008"	278	636336	43.7
	"Alaska"	"02"	"2009"	"2009"	281	645773	43.5
	"Alaska"	"02"	"2010"	"2010"	206	656235	31.4
	"Alaska"	"02"	"2011"	"2011"	237	668175	35.5
	"Alaska"	"02"	"2012"	"2012"	254	676658	37.5
	"Alaska"	"02"	"2013"	"2013"	236	679740	34.7
	"Alaska"	"02"	"2014"	"2014"	266	682024	39.0
	"Alaska"	"02"	"2015"	"2015"	287	682983	42.0
	"Alaska"	"02"	"2016"	"2016"	321	687779	46.7
	"Arizona"	"04"	"1999"	"1999"	1023	4647735	22.0
	"Arizona"	"04"	"2000"	"2000"	1028	4748246	21.7
	"Arizona"	"04"	"2001"	"2001"	1043	4879413	21.4
	"Arizona"	"04"	"2002"	"2002"	1175	4991237	23.5
	"Arizona"	"04"	"2003"	"2003"	1304	5093755	25.6
	"Arizona"	"04"	"2004"	"2004"	1388	5222373	26.6
	"Arizona"	"04"	"2005"	"2005"	1511	5391970	28.0
	"Arizona"	"04"	"2006"	"2006"	1613	5569394	29.0
	"Arizona"	"04"	"2007"	"2007"	1724	5698001	30.3
	"Arizona"	"04"	"2008"	"2008"	1636	5806551	28.2
	"Arizona"	"04"	"2009"	"2009"	1840	5879736	31.3
	"Arizona"	"04"	"2010"	"2010"	2127	5936302	35.8
	"Arizona"	"04"	"2011"	"2011"	2125	6032321	35.2
	"Arizona"	"04"	"2012"	"2012"	2260	6113622	37.0
	"Arizona"	"04"	"2013"	"2013"	2442	6194866	39.4
	"Arizona"	"04"	"2014"	"2014"	2444	6300596	38.8
	"Arizona"	"04"	"2015"	"2015"	2626	6398821	41.0
	"Arizona"	"04"	"2016"	"2016"	2824	6491752	43.5
	"Arkansas"	"05"	"1999"	"1999"	237	2470733	9.6
	"Arkansas"	"05"	"2000"	"2000"	263	2491815	10.6
	"Arkansas"	"05"	"2001"	"2001"	290	2509545	11.6
	"Arkansas"	"05"	"2002"	"2002"	321	2523217	12.7
	"Arkansas"	"05"	"2003"	"2003"	341	2540729	13.4
	"Arkansas"	"05"	"2004"	"2004"	377	2563076	14.7
	"Arkansas"	"05"	"2005"	"2005"	432	2591340	16.7
	"Arkansas"	"05"	"2006"	"2006"	476	2629052	18.1
	"Arkansas"	"05"	"2007"	"2007"	499	2653709	18.8
	"Arkansas"	"05"	"2008"	"2008"	590	2677401	22.0
	"Arkansas"	"05"	"2009"	"2009"	556	2698856	20.6
	"Arkansas"	"05"	"2010"	"2010"	553	2718229	20.3
	"Arkansas"	"05"	"2011"	"2011"	551	2741634	20.1
	"Arkansas"	"05"	"2012"	"2012"	573	2755112	20.8
	"Arkansas"	"05"	"2013"	"2013"	532	2766457	19.2
	"Arkansas"	"05"	"2014"	"2014"	581	2774748	20.9
	"Arkansas"	"05"	"2015"	"2015"	667	2787346	23.9
	"Arkansas"	"05"	"2016"	"2016"	708	2797971	25.3
	"California"	"06"	"1999"	"1999"	6364	30987057	20.5
	"California"	"06"	"2000"	"2000"	5693	31384667	18.1
	"California"	"06"	"2001"	"2001"	4897	31990160	15.3
	"California"	"06"	"2002"	"2002"	6951	32379562	21.5
	"California"	"06"	"2003"	"2003"	7358	32735418	22.5
	"California"	"06"	"2004"	"2004"	7377	33032811	22.3
	"California"	"06"	"2005"	"2005"	7743	33272328	23.3
	"California"	"06"	"2006"	"2006"	7944	33481781	23.7
	"California"	"06"	"2007"	"2007"	8197	33704568	24.3
	"California"	"06"	"2008"	"2008"	8313	34043276	24.4
	"California"	"06"	"2009"	"2009"	8529	34416508	24.8
	"California"	"06"	"2010"	"2010"	8544	34722623	24.6
	"California"	"06"	"2011"	"2011"	8915	35153126	25.4
	"California"	"06"	"2012"	"2012"	8718	35499933	24.6
	"California"	"06"	"2013"	"2013"	9300	35824985	26.0
	"California"	"06"	"2014"	"2014"	9557	36286773	26.3
	"California"	"06"	"2015"	"2015"	10164	36636066	27.7
	"California"	"06"	"2016"	"2016"	10140	36762645	27.6
	"Colorado"	"08"	"1999"	"1999"	843	3934800	21.4
	"Colorado"	"08"	"2000"	"2000"	816	4003756	20.4
	"Colorado"	"08"	"2001"	"2001"	955	4116458	23.2
	"Colorado"	"08"	"2002"	"2002"	987	4174227	23.6
	"Colorado"	"08"	"2003"	"2003"	1044	4206390	24.8
	"Colorado"	"08"	"2004"	"2004"	1045	4249027	24.6
	"Colorado"	"08"	"2005"	"2005"	1137	4301031	26.4
	"Colorado"	"08"	"2006"	"2006"	1185	4385953	27.0
	"Colorado"	"08"	"2007"	"2007"	1357	4464026	30.4
	"Colorado"	"08"	"2008"	"2008"	1435	4546873	31.6
	"Colorado"	"08"	"2009"	"2009"	1469	4628467	31.7
	"Colorado"	"08"	"2010"	"2010"	1408	4685236	30.1
	"Colorado"	"08"	"2011"	"2011"	1570	4774642	32.9
	"Colorado"	"08"	"2012"	"2012"	1573	4850014	32.4
	"Colorado"	"08"	"2013"	"2013"	1650	4933231	33.4
