"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Albany County, NY"	"36001"	"1999"	"1999"	14	239547	Unreliable
	"Albany County, NY"	"36001"	"2000"	"2000"	15	239540	Unreliable
	"Albany County, NY"	"36001"	"2001"	"2001"	21	241967	8.7
	"Albany County, NY"	"36001"	"2002"	"2002"	19	244355	Unreliable
	"Albany County, NY"	"36001"	"2003"	"2003"	20	247455	8.1
	"Albany County, NY"	"36001"	"2004"	"2004"	20	249192	8.0
	"Albany County, NY"	"36001"	"2005"	"2005"	23	250900	9.2
	"Albany County, NY"	"36001"	"2006"	"2006"	37	252787	14.6
	"Albany County, NY"	"36001"	"2007"	"2007"	53	253399	20.9
	"Albany County, NY"	"36001"	"2008"	"2008"	49	254010	19.3
	"Albany County, NY"	"36001"	"2009"	"2009"	38	255263	14.9
	"Albany County, NY"	"36001"	"2010"	"2010"	48	255148	18.8
	"Albany County, NY"	"36001"	"2011"	"2011"	57	255742	22.3
	"Albany County, NY"	"36001"	"2012"	"2012"	41	257955	15.9
	"Albany County, NY"	"36001"	"2013"	"2013"	65	259510	25.0
	"Albany County, NY"	"36001"	"2014"	"2014"	71	260657	27.2
	"Albany County, NY"	"36001"	"2015"	"2015"	56	261970	21.4
	"Albany County, NY"	"36001"	"2016"	"2016"	46	261698	17.6
	"Bronx County, NY"	"36005"	"1999"	"1999"	326	984889	33.1
	"Bronx County, NY"	"36005"	"2000"	"2000"	302	995335	30.3
	"Bronx County, NY"	"36005"	"2001"	"2001"	356	1010106	35.2
	"Bronx County, NY"	"36005"	"2002"	"2002"	325	1022928	31.8
	"Bronx County, NY"	"36005"	"2003"	"2003"	342	1030803	33.2
	"Bronx County, NY"	"36005"	"2004"	"2004"	311	1034128	30.1
	"Bronx County, NY"	"36005"	"2005"	"2005"	319	1035790	30.8
	"Bronx County, NY"	"36005"	"2006"	"2006"	382	1039202	36.8
	"Bronx County, NY"	"36005"	"2007"	"2007"	358	1049309	34.1
	"Bronx County, NY"	"36005"	"2008"	"2008"	326	1060353	30.7
	"Bronx County, NY"	"36005"	"2009"	"2009"	334	1073996	31.1
	"Bronx County, NY"	"36005"	"2010"	"2010"	293	1084141	27.0
	"Bronx County, NY"	"36005"	"2011"	"2011"	323	1087824	29.7
	"Bronx County, NY"	"36005"	"2012"	"2012"	348	1102316	31.6
	"Bronx County, NY"	"36005"	"2013"	"2013"	349	1113043	31.4
	"Bronx County, NY"	"36005"	"2014"	"2014"	359	1130655	31.8
	"Bronx County, NY"	"36005"	"2015"	"2015"	452	1146184	39.4
	"Bronx County, NY"	"36005"	"2016"	"2016"	526	1148167	45.8
	"Broome County, NY"	"36007"	"1999"	"1999"	14	162397	Unreliable
	"Broome County, NY"	"36007"	"2000"	"2000"	18	162308	Unreliable
	"Broome County, NY"	"36007"	"2002"	"2002"	21	164399	12.8
	"Broome County, NY"	"36007"	"2003"	"2003"	27	164709	16.4
	"Broome County, NY"	"36007"	"2004"	"2004"	23	165270	13.9
	"Broome County, NY"	"36007"	"2005"	"2005"	18	165556	Unreliable
	"Broome County, NY"	"36007"	"2006"	"2006"	23	166629	13.8
	"Broome County, NY"	"36007"	"2007"	"2007"	31	167058	18.6
	"Broome County, NY"	"36007"	"2008"	"2008"	39	167548	23.3
	"Broome County, NY"	"36007"	"2009"	"2009"	33	167648	19.7
	"Broome County, NY"	"36007"	"2010"	"2010"	37	167652	22.1
	"Broome County, NY"	"36007"	"2011"	"2011"	47	166864	28.2
	"Broome County, NY"	"36007"	"2012"	"2012"	46	166213	27.7
	"Broome County, NY"	"36007"	"2013"	"2013"	56	165672	33.8
	"Broome County, NY"	"36007"	"2014"	"2014"	57	165581	34.4
	"Broome County, NY"	"36007"	"2015"	"2015"	64	165163	38.7
	"Broome County, NY"	"36007"	"2016"	"2016"	110	164198	67.0
	"Cattaraugus County, NY"	"36009"	"2007"	"2007"	15	65287	Unreliable
	"Cattaraugus County, NY"	"36009"	"2008"	"2008"	13	65190	Unreliable
	"Cattaraugus County, NY"	"36009"	"2009"	"2009"	11	64970	Unreliable
	"Cattaraugus County, NY"	"36009"	"2010"	"2010"	12	64950	Unreliable
	"Cattaraugus County, NY"	"36009"	"2011"	"2011"	11	64721	Unreliable
	"Cattaraugus County, NY"	"36009"	"2012"	"2012"	17	64513	Unreliable
	"Cattaraugus County, NY"	"36009"	"2013"	"2013"	16	64141	Unreliable
	"Cattaraugus County, NY"	"36009"	"2014"	"2014"	13	64004	Unreliable
	"Cattaraugus County, NY"	"36009"	"2015"	"2015"	24	63565	37.8
	"Cattaraugus County, NY"	"36009"	"2016"	"2016"	26	63294	41.1
	"Cayuga County, NY"	"36011"	"2006"	"2006"	14	66042	Unreliable
	"Cayuga County, NY"	"36011"	"2008"	"2008"	13	66291	Unreliable
	"Cayuga County, NY"	"36011"	"2009"	"2009"	12	66021	Unreliable
	"Cayuga County, NY"	"36011"	"2010"	"2010"	14	66077	Unreliable
	"Cayuga County, NY"	"36011"	"2011"	"2011"	20	66094	30.3
	"Cayuga County, NY"	"36011"	"2012"	"2012"	23	66123	34.8
	"Cayuga County, NY"	"36011"	"2013"	"2013"	24	66240	36.2
	"Cayuga County, NY"	"36011"	"2014"	"2014"	11	65816	Unreliable
	"Cayuga County, NY"	"36011"	"2015"	"2015"	21	65532	32.0
	"Cayuga County, NY"	"36011"	"2016"	"2016"	21	65165	32.2
	"Chautauqua County, NY"	"36013"	"1999"	"1999"	13	111905	Unreliable
	"Chautauqua County, NY"	"36013"	"2001"	"2001"	13	111600	Unreliable
	"Chautauqua County, NY"	"36013"	"2002"	"2002"	11	111520	Unreliable
	"Chautauqua County, NY"	"36013"	"2003"	"2003"	14	111230	Unreliable
	"Chautauqua County, NY"	"36013"	"2004"	"2004"	11	111272	Unreliable
	"Chautauqua County, NY"	"36013"	"2006"	"2006"	23	110929	20.7
	"Chautauqua County, NY"	"36013"	"2007"	"2007"	30	111098	27.0
	"Chautauqua County, NY"	"36013"	"2008"	"2008"	23	110929	20.7
	"Chautauqua County, NY"	"36013"	"2009"	"2009"	18	111052	Unreliable
	"Chautauqua County, NY"	"36013"	"2010"	"2010"	29	110924	26.1
	"Chautauqua County, NY"	"36013"	"2011"	"2011"	24	110782	21.7
	"Chautauqua County, NY"	"36013"	"2012"	"2012"	24	110391	21.7
	"Chautauqua County, NY"	"36013"	"2013"	"2013"	29	110206	26.3
	"Chautauqua County, NY"	"36013"	"2014"	"2014"	38	109581	34.7
	"Chautauqua County, NY"	"36013"	"2015"	"2015"	35	108894	32.1
	"Chautauqua County, NY"	"36013"	"2016"	"2016"	53	107768	49.2
	"Chemung County, NY"	"36015"	"2000"	"2000"	11	72858	Unreliable
	"Chemung County, NY"	"36015"	"2001"	"2001"	13	72847	Unreliable
	"Chemung County, NY"	"36015"	"2006"	"2006"	15	72387	Unreliable
	"Chemung County, NY"	"36015"	"2008"	"2008"	17	72284	Unreliable
	"Chemung County, NY"	"36015"	"2009"	"2009"	20	72556	27.6
	"Chemung County, NY"	"36015"	"2010"	"2010"	14	72532	Unreliable
	"Chemung County, NY"	"36015"	"2011"	"2011"	22	72696	30.3
	"Chemung County, NY"	"36015"	"2012"	"2012"	31	72675	42.7
	"Chemung County, NY"	"36015"	"2013"	"2013"	24	72422	33.1
	"Chemung County, NY"	"36015"	"2014"	"2014"	18	71791	Unreliable
	"Chemung County, NY"	"36015"	"2015"	"2015"	25	71381	35.0
	"Chemung County, NY"	"36015"	"2016"	"2016"	32	71017	45.1
	"Chenango County, NY"	"36017"	"2014"	"2014"	10	40893	Unreliable
	"Chenango County, NY"	"36017"	"2015"	"2015"	11	40532	Unreliable
	"Chenango County, NY"	"36017"	"2016"	"2016"	10	40331	Unreliable
	"Clinton County, NY"	"36019"	"2006"	"2006"	11	69007	Unreliable
	"Clinton County, NY"	"36019"	"2007"	"2007"	11	69203	Unreliable
	"Clinton County, NY"	"36019"	"2008"	"2008"	18	69233	Unreliable
	"Clinton County, NY"	"36019"	"2009"	"2009"	11	69369	Unreliable
	"Clinton County, NY"	"36019"	"2010"	"2010"	13	69365	Unreliable
	"Clinton County, NY"	"36019"	"2011"	"2011"	18	69423	Unreliable
	"Clinton County, NY"	"36019"	"2013"	"2013"	19	69284	Unreliable
	"Clinton County, NY"	"36019"	"2014"	"2014"	16	69387	Unreliable
	"Clinton County, NY"	"36019"	"2015"	"2015"	23	69222	33.2
	"Clinton County, NY"	"36019"	"2016"	"2016"	18	69142	Unreliable
	"Columbia County, NY"	"36021"	"2009"	"2009"	11	52797	Unreliable
	"Columbia County, NY"	"36021"	"2012"	"2012"	11	52822	Unreliable
	"Columbia County, NY"	"36021"	"2013"	"2013"	16	52865	Unreliable
	"Columbia County, NY"	"36021"	"2014"	"2014"	13	52987	Unreliable
	"Columbia County, NY"	"36021"	"2015"	"2015"	14	52607	Unreliable
	"Columbia County, NY"	"36021"	"2016"	"2016"	20	52375	38.2
	"Cortland County, NY"	"36023"	"2015"	"2015"	15	40783	Unreliable
	"Cortland County, NY"	"36023"	"2016"	"2016"	10	40489	Unreliable
	"Delaware County, NY"	"36025"	"2009"	"2009"	13	40645	Unreliable
	"Delaware County, NY"	"36025"	"2010"	"2010"	10	40527	Unreliable
	"Delaware County, NY"	"36025"	"2011"	"2011"	10	40251	Unreliable
	"Delaware County, NY"	"36025"	"2014"	"2014"	10	39797	Unreliable
	"Delaware County, NY"	"36025"	"2015"	"2015"	12	39537	Unreliable
	"Delaware County, NY"	"36025"	"2016"	"2016"	19	39127	Unreliable
	"Dutchess County, NY"	"36027"	"1999"	"1999"	11	219330	Unreliable
	"Dutchess County, NY"	"36027"	"2000"	"2000"	11	221475	Unreliable
	"Dutchess County, NY"	"36027"	"2001"	"2001"	13	225718	Unreliable
	"Dutchess County, NY"	"36027"	"2002"	"2002"	14	228766	Unreliable
	"Dutchess County, NY"	"36027"	"2003"	"2003"	16	232086	Unreliable
	"Dutchess County, NY"	"36027"	"2004"	"2004"	20	234809	8.5
	"Dutchess County, NY"	"36027"	"2005"	"2005"	20	237331	8.4
