,State,State Code,Year,Year Code,Deaths,Population,Crude Rate,Text
0,Alabama,AL,1999.0,1999.0,443.0,4135201.0,11.0,"Alabama<br>Total Deaths: 443.0<br>Population: 4135201.0<br>Death Rate Per 100,000: 11.0<br>"
1,Alabama,AL,2000.0,2000.0,470.0,4151108.0,11.0,"Alabama<br>Total Deaths: 470.0<br>Population: 4151108.0<br>Death Rate Per 100,000: 11.0<br>"
2,Alabama,AL,2001.0,2001.0,489.0,4171010.0,12.0,"Alabama<br>Total Deaths: 489.0<br>Population: 4171010.0<br>Death Rate Per 100,000: 12.0<br>"
3,Alabama,AL,2002.0,2002.0,460.0,4184043.0,11.0,"Alabama<br>Total Deaths: 460.0<br>Population: 4184043.0<br>Death Rate Per 100,000: 11.0<br>"
4,Alabama,AL,2003.0,2003.0,472.0,4208287.0,11.0,"Alabama<br>Total Deaths: 472.0<br>Population: 4208287.0<br>Death Rate Per 100,000: 11.0<br>"
5,Alabama,AL,2004.0,2004.0,577.0,4234759.0,14.0,"Alabama<br>Total Deaths: 577.0<br>Population: 4234759.0<br>Death Rate Per 100,000: 14.0<br>"
6,Alabama,AL,2005.0,2005.0,587.0,4273364.0,14.0,"Alabama<br>Total Deaths: 587.0<br>Population: 4273364.0<br>Death Rate Per 100,000: 14.0<br>"
7,Alabama,AL,2006.0,2006.0,711.0,4331759.0,16.0,"Alabama<br>Total Deaths: 711.0<br>Population: 4331759.0<br>Death Rate Per 100,000: 16.0<br>"
8,Alabama,AL,2007.0,2007.0,807.0,4372540.0,18.0,"Alabama<br>Total Deaths: 807.0<br>Population: 4372540.0<br>Death Rate Per 100,000: 18.0<br>"
9,Alabama,AL,2008.0,2008.0,896.0,4413364.0,20.0,"Alabama<br>Total Deaths: 896.0<br>Population: 4413364.0<br>Death Rate Per 100,000: 20.0<br>"
10,Alabama,AL,2009.0,2009.0,923.0,4452526.0,21.0,"Alabama<br>Total Deaths: 923.0<br>Population: 4452526.0<br>Death Rate Per 100,000: 21.0<br>"
11,Alabama,AL,2010.0,2010.0,850.0,4474779.0,19.0,"Alabama<br>Total Deaths: 850.0<br>Population: 4474779.0<br>Death Rate Per 100,000: 19.0<br>"
12,Alabama,AL,2011.0,2011.0,852.0,4498835.0,19.0,"Alabama<br>Total Deaths: 852.0<br>Population: 4498835.0<br>Death Rate Per 100,000: 19.0<br>"
13,Alabama,AL,2012.0,2012.0,910.0,4516756.0,20.0,"Alabama<br>Total Deaths: 910.0<br>Population: 4516756.0<br>Death Rate Per 100,000: 20.0<br>"
14,Alabama,AL,2013.0,2013.0,907.0,4536618.0,20.0,"Alabama<br>Total Deaths: 907.0<br>Population: 4536618.0<br>Death Rate Per 100,000: 20.0<br>"
15,Alabama,AL,2014.0,2014.0,1110.0,4554672.0,24.0,"Alabama<br>Total Deaths: 1110.0<br>Population: 4554672.0<br>Death Rate Per 100,000: 24.0<br>"
16,Alabama,AL,2015.0,2015.0,1124.0,4566006.0,25.0,"Alabama<br>Total Deaths: 1124.0<br>Population: 4566006.0<br>Death Rate Per 100,000: 25.0<br>"
17,Alabama,AL,2016.0,2016.0,1248.0,4570735.0,27.0,"Alabama<br>Total Deaths: 1248.0<br>Population: 4570735.0<br>Death Rate Per 100,000: 27.0<br>"
18,Alaska,AK,1999.0,1999.0,150.0,576843.0,26.0,"Alaska<br>Total Deaths: 150.0<br>Population: 576843.0<br>Death Rate Per 100,000: 26.0<br>"
19,Alaska,AK,2000.0,2000.0,156.0,579341.0,27.0,"Alaska<br>Total Deaths: 156.0<br>Population: 579341.0<br>Death Rate Per 100,000: 27.0<br>"
20,Alaska,AK,2001.0,2001.0,191.0,586538.0,33.0,"Alaska<br>Total Deaths: 191.0<br>Population: 586538.0<br>Death Rate Per 100,000: 33.0<br>"
21,Alaska,AK,2002.0,2002.0,210.0,594900.0,35.0,"Alaska<br>Total Deaths: 210.0<br>Population: 594900.0<br>Death Rate Per 100,000: 35.0<br>"
22,Alaska,AK,2003.0,2003.0,208.0,600804.0,35.0,"Alaska<br>Total Deaths: 208.0<br>Population: 600804.0<br>Death Rate Per 100,000: 35.0<br>"
23,Alaska,AK,2004.0,2004.0,196.0,611029.0,32.0,"Alaska<br>Total Deaths: 196.0<br>Population: 611029.0<br>Death Rate Per 100,000: 32.0<br>"
24,Alaska,AK,2005.0,2005.0,206.0,618017.0,33.0,"Alaska<br>Total Deaths: 206.0<br>Population: 618017.0<br>Death Rate Per 100,000: 33.0<br>"
25,Alaska,AK,2006.0,2006.0,228.0,625861.0,36.0,"Alaska<br>Total Deaths: 228.0<br>Population: 625861.0<br>Death Rate Per 100,000: 36.0<br>"
26,Alaska,AK,2007.0,2007.0,219.0,630081.0,35.0,"Alaska<br>Total Deaths: 219.0<br>Population: 630081.0<br>Death Rate Per 100,000: 35.0<br>"
27,Alaska,AK,2008.0,2008.0,278.0,636336.0,44.0,"Alaska<br>Total Deaths: 278.0<br>Population: 636336.0<br>Death Rate Per 100,000: 44.0<br>"
28,Alaska,AK,2009.0,2009.0,281.0,645773.0,44.0,"Alaska<br>Total Deaths: 281.0<br>Population: 645773.0<br>Death Rate Per 100,000: 44.0<br>"
29,Alaska,AK,2010.0,2010.0,206.0,656235.0,31.0,"Alaska<br>Total Deaths: 206.0<br>Population: 656235.0<br>Death Rate Per 100,000: 31.0<br>"
30,Alaska,AK,2011.0,2011.0,237.0,668175.0,35.0,"Alaska<br>Total Deaths: 237.0<br>Population: 668175.0<br>Death Rate Per 100,000: 35.0<br>"
31,Alaska,AK,2012.0,2012.0,254.0,676658.0,38.0,"Alaska<br>Total Deaths: 254.0<br>Population: 676658.0<br>Death Rate Per 100,000: 38.0<br>"
32,Alaska,AK,2013.0,2013.0,236.0,679740.0,35.0,"Alaska<br>Total Deaths: 236.0<br>Population: 679740.0<br>Death Rate Per 100,000: 35.0<br>"
33,Alaska,AK,2014.0,2014.0,266.0,682024.0,39.0,"Alaska<br>Total Deaths: 266.0<br>Population: 682024.0<br>Death Rate Per 100,000: 39.0<br>"
34,Alaska,AK,2015.0,2015.0,287.0,682983.0,42.0,"Alaska<br>Total Deaths: 287.0<br>Population: 682983.0<br>Death Rate Per 100,000: 42.0<br>"
35,Alaska,AK,2016.0,2016.0,321.0,687779.0,47.0,"Alaska<br>Total Deaths: 321.0<br>Population: 687779.0<br>Death Rate Per 100,000: 47.0<br>"
