"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"Albany County, NY"	"36001"	"25-34 years"	"25-34"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	11	15534	Unreliable
	"Albany County, NY"	"36001"	"45-54 years"	"45-54"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	12	17900	Unreliable
	"Albany County, NY"	"36001"	"45-54 years"	"45-54"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	12	17091	Unreliable
	"Albany County, NY"	"36001"	"55-64 years"	"55-64"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	11	16853	Unreliable
	"Bronx County, NY"	"36005"	"15-24 years"	"15-24"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	14	50085	Unreliable
	"Bronx County, NY"	"36005"	"25-34 years"	"25-34"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	17	45341	Unreliable
	"Bronx County, NY"	"36005"	"25-34 years"	"25-34"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	22	46848	47.0
	"Bronx County, NY"	"36005"	"25-34 years"	"25-34"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	25	47267	52.9
	"Bronx County, NY"	"36005"	"25-34 years"	"25-34"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	19	48813	Unreliable
	"Bronx County, NY"	"36005"	"25-34 years"	"25-34"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	21	50145	41.9
	"Bronx County, NY"	"36005"	"25-34 years"	"25-34"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	34	51280	66.3
	"Bronx County, NY"	"36005"	"25-34 years"	"25-34"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	30	51890	57.8
	"Bronx County, NY"	"36005"	"35-44 years"	"35-44"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	29	40212	72.1
	"Bronx County, NY"	"36005"	"35-44 years"	"35-44"	"2011"	"2011"	"Male"	"M"	"Black or African American"	"2054-5"	12	36898	Unreliable
	"Bronx County, NY"	"36005"	"35-44 years"	"35-44"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	31	39682	78.1
	"Bronx County, NY"	"36005"	"35-44 years"	"35-44"	"2012"	"2012"	"Female"	"F"	"White"	"2106-3"	12	43185	Unreliable
	"Bronx County, NY"	"36005"	"35-44 years"	"35-44"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	25	39817	62.8
	"Bronx County, NY"	"36005"	"35-44 years"	"35-44"	"2013"	"2013"	"Female"	"F"	"White"	"2106-3"	11	42989	Unreliable
	"Bronx County, NY"	"36005"	"35-44 years"	"35-44"	"2013"	"2013"	"Male"	"M"	"Black or African American"	"2054-5"	12	36637	Unreliable
	"Bronx County, NY"	"36005"	"35-44 years"	"35-44"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	28	39673	70.6
	"Bronx County, NY"	"36005"	"35-44 years"	"35-44"	"2014"	"2014"	"Female"	"F"	"White"	"2106-3"	10	43545	Unreliable
	"Bronx County, NY"	"36005"	"35-44 years"	"35-44"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	36	39588	90.9
	"Bronx County, NY"	"36005"	"35-44 years"	"35-44"	"2015"	"2015"	"Female"	"F"	"White"	"2106-3"	15	44308	Unreliable
	"Bronx County, NY"	"36005"	"35-44 years"	"35-44"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	34	39912	85.2
	"Bronx County, NY"	"36005"	"35-44 years"	"35-44"	"2016"	"2016"	"Female"	"F"	"White"	"2106-3"	19	43358	Unreliable
	"Bronx County, NY"	"36005"	"35-44 years"	"35-44"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	57	39508	144.3
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2010"	"2010"	"Female"	"F"	"Black or African American"	"2054-5"	10	49095	Unreliable
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2010"	"2010"	"Female"	"F"	"White"	"2106-3"	17	43643	Unreliable
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2010"	"2010"	"Male"	"M"	"Black or African American"	"2054-5"	15	39649	Unreliable
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	59	38040	155.1
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2011"	"2011"	"Female"	"F"	"Black or African American"	"2054-5"	16	49255	Unreliable
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2011"	"2011"	"Female"	"F"	"White"	"2106-3"	18	43685	Unreliable
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2011"	"2011"	"Male"	"M"	"Black or African American"	"2054-5"	20	39901	50.1
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	52	38394	135.4
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2012"	"2012"	"Female"	"F"	"Black or African American"	"2054-5"	19	49475	Unreliable
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2012"	"2012"	"Female"	"F"	"White"	"2106-3"	21	43955	47.8
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2012"	"2012"	"Male"	"M"	"Black or African American"	"2054-5"	28	40075	69.9
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	51	38813	131.4
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2013"	"2013"	"Female"	"F"	"Black or African American"	"2054-5"	18	49820	Unreliable
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2013"	"2013"	"Female"	"F"	"White"	"2106-3"	24	44366	54.1
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2013"	"2013"	"Male"	"M"	"Black or African American"	"2054-5"	22	40501	54.3
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	61	39239	155.5
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2014"	"2014"	"Female"	"F"	"Black or African American"	"2054-5"	13	50051	Unreliable
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2014"	"2014"	"Female"	"F"	"White"	"2106-3"	14	44504	Unreliable
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2014"	"2014"	"Male"	"M"	"Black or African American"	"2054-5"	24	40545	59.2
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	55	39575	139.0
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2015"	"2015"	"Female"	"F"	"Black or African American"	"2054-5"	17	50114	Unreliable
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2015"	"2015"	"Female"	"F"	"White"	"2106-3"	29	44410	65.3
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2015"	"2015"	"Male"	"M"	"Black or African American"	"2054-5"	25	40771	61.3
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	77	39827	193.3
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2016"	"2016"	"Female"	"F"	"Black or African American"	"2054-5"	14	49214	Unreliable
	"Bronx County, NY"	"36005"	"45-54 years"	"45-54"	"2016"	"2016"	"Female"	"F"	"White"	"2106-3"	22	44004	50.0
