"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Berkeley County, WV"	"54003"	"2000"	"2000"	12	59712	Unreliable
	"Berkeley County, WV"	"54003"	"2001"	"2001"	15	61759	Unreliable
	"Berkeley County, WV"	"54003"	"2002"	"2002"	18	63700	Unreliable
	"Berkeley County, WV"	"54003"	"2003"	"2003"	25	66502	37.6
	"Berkeley County, WV"	"54003"	"2004"	"2004"	14	69307	Unreliable
	"Berkeley County, WV"	"54003"	"2005"	"2005"	14	72366	Unreliable
	"Berkeley County, WV"	"54003"	"2006"	"2006"	19	75647	Unreliable
	"Berkeley County, WV"	"54003"	"2007"	"2007"	23	78007	29.5
	"Berkeley County, WV"	"54003"	"2008"	"2008"	32	79901	40.0
	"Berkeley County, WV"	"54003"	"2009"	"2009"	23	80967	28.4
	"Berkeley County, WV"	"54003"	"2010"	"2010"	32	82278	38.9
	"Berkeley County, WV"	"54003"	"2011"	"2011"	37	83896	44.1
	"Berkeley County, WV"	"54003"	"2012"	"2012"	45	85221	52.8
	"Berkeley County, WV"	"54003"	"2013"	"2013"	54	86668	62.3
	"Berkeley County, WV"	"54003"	"2014"	"2014"	53	88234	60.1
	"Berkeley County, WV"	"54003"	"2015"	"2015"	61	89581	68.1
	"Berkeley County, WV"	"54003"	"2016"	"2016"	105	91034	115.3
	"Boone County, WV"	"54005"	"2004"	"2004"	12	20511	Unreliable
	"Boone County, WV"	"54005"	"2006"	"2006"	11	20291	Unreliable
	"Boone County, WV"	"54005"	"2007"	"2007"	10	20293	Unreliable
	"Boone County, WV"	"54005"	"2008"	"2008"	12	20039	Unreliable
	"Boone County, WV"	"54005"	"2010"	"2010"	22	19934	110.4
	"Boone County, WV"	"54005"	"2011"	"2011"	28	19832	141.2
	"Boone County, WV"	"54005"	"2012"	"2012"	18	19842	Unreliable
	"Boone County, WV"	"54005"	"2013"	"2013"	21	19650	106.9
	"Boone County, WV"	"54005"	"2014"	"2014"	28	19340	144.8
	"Boone County, WV"	"54005"	"2015"	"2015"	18	19106	Unreliable
	"Boone County, WV"	"54005"	"2016"	"2016"	14	18755	Unreliable
	"Brooke County, WV"	"54009"	"2010"	"2010"	12	20366	Unreliable
	"Brooke County, WV"	"54009"	"2011"	"2011"	14	20228	Unreliable
	"Brooke County, WV"	"54009"	"2012"	"2012"	12	20299	Unreliable
	"Brooke County, WV"	"54009"	"2014"	"2014"	14	20154	Unreliable
	"Brooke County, WV"	"54009"	"2015"	"2015"	13	20059	Unreliable
	"Brooke County, WV"	"54009"	"2016"	"2016"	15	19737	Unreliable
	"Cabell County, WV"	"54011"	"1999"	"1999"	17	80889	Unreliable
	"Cabell County, WV"	"54011"	"2000"	"2000"	14	80754	Unreliable
	"Cabell County, WV"	"54011"	"2001"	"2001"	23	80175	28.7
	"Cabell County, WV"	"54011"	"2002"	"2002"	34	79934	42.5
	"Cabell County, WV"	"54011"	"2003"	"2003"	30	79860	37.6
	"Cabell County, WV"	"54011"	"2004"	"2004"	34	79532	42.8
	"Cabell County, WV"	"54011"	"2005"	"2005"	19	79395	Unreliable
	"Cabell County, WV"	"54011"	"2006"	"2006"	38	79425	47.8
	"Cabell County, WV"	"54011"	"2007"	"2007"	53	79596	66.6
	"Cabell County, WV"	"54011"	"2008"	"2008"	41	79703	51.4
	"Cabell County, WV"	"54011"	"2009"	"2009"	13	80260	Unreliable
	"Cabell County, WV"	"54011"	"2010"	"2010"	38	80521	47.2
	"Cabell County, WV"	"54011"	"2011"	"2011"	53	80740	65.6
